# %ECSV 1.0
# ---
# datatype:
# - {name: ST, datatype: string}
# - {name: WMF, datatype: float64}
# - {name: T_eq, datatype: float64}
# - {name: M_p, datatype: float64}
# - {name: Age, datatype: float64}
# - {name: R_b, datatype: float64}
# - {name: R_20mbar, datatype: float64}
# - {name: R_1mibar, datatype: float64}
# - {name: T_b, datatype: float64}
# - {name: T_int, datatype: float64}
# - {name: s_env, datatype: float64}
# - {name: I/MR^2, datatype: float64}
# - {name: L_env, datatype: float64}
# - {name: L_rad, datatype: float64}
# - {name: L_core, datatype: float64}
# - {name: L_grav, datatype: float64}
# - {name: u_tot, datatype: float64}
# meta: !!omap
# - comments: [Evolutionary tracks from the Steam Worlds Evolution Extended in Temperature model (Aguichine+2025), '', 'Model summary:',
#     'Earth-like core (32.5% iron-sulfur alloy, 67.5% mantle with Earth-like Fe/Si ratio)', Pure H2O envelope and pure H2O atmosphere
#       connected at P_b = 1000 bar, '', 'Parameters:', 'ST: Stellar Type (M or G), for radiative transfer in the atmosphere', 'WMF: Water
#       Mass Fraction, between 0.001 and 1', 'T_eq: Equilibrium temperature (K), between 500 K and 700 K', 'M_p: Planet mass (M_e), between
#       0.2 M_E and 20.0 M_E', 'Age: Host star age (Gyr), between 0.001 Gyr and 20 Gyr, assuming the planet formed at t_0 = 1 Myr (can
#       be adjusted)', '', 'Model outputs:', 'R_b: Planet radius (R_E) at 1000 bar', 'R_20mbar : Planet radius (R_E) at 20 mbar, pressure
#       level where pure steam is opaque at 1 micron', 'R_1mibar : Planet radius (R_E) at 1 microbar (0.1 Pa), pressure level of aerosols/haze
#       formation', 'T_b: Temperature (K) at 1000 bar)', 'T_int: Intrinsic temperature (K), nominal values are between 10 K and 400 K',
#     's_env: Specific entropy of H2O in the envelope (in J/K/kg)', 'I/MR^2: Normalized moment of inertia', '', 'Sources of energy for
#       the cooling, expressed as luminosities (in W):', 'L_env: energy from the H2O envelope (thermal + gravitational)', 'L_rad: radiogenic
#       heat produced in the core', 'L_core: thermal energy of the core', 'L_grav: gravitational energy of the core', 'u_tot: total energy
#       of the planet, obtained by fully integrating thermal (cp*T*dm) and gravitational energy', '', '', 'By construction:', L_env +
#       L_rad + L_core + L_grav = L_int = (4 * Pi * R_p**2) * (sigma_SB * T_int**4), d u_tot / d t = -L_int + L_rad, '', 'NB: The last
#       line of each track represents an estimate of the time until "full exhaustion".', '########################################################################################################',
#     ST    WMF    T_eq          M_p       Age       R_b  R_20mbar  R_1mibar       T_b     T_int           s_env          I/MR^2        L_env         L_rad        L_core        L_grav        u_tot]
# schema: astropy-2.0
ST WMF T_eq M_p Age R_b R_20mbar R_1mibar T_b T_int s_env I/MR^2 L_env L_rad L_core L_grav u_tot
M 0.001 400.0 0.2 0.001 0.64893 1.18359 1.31647 6563.86 933.21 16520.0 0.31804 0.0 0.0 0.0 0.0 -6.89738e+30
M 0.001 400.0 0.2 0.0015 0.62547 0.83241 0.89559 2923.55 220.05 13000.035 0.323065 397628000000000.0 53902400000000.0 2.41633e+16 2398110000000000.0 -1.27605e+31
M 0.001 400.0 0.2 0.002 0.62442 0.81833 0.88071 2694.93 177.91 12647.229 0.32329 168233000000000.0 53888000000000.0 1.02233e+16 1014620000000000.0 -1.30219e+31
M 0.001 400.0 0.2 0.003 0.62351 0.80755 0.86968 2491.02 145.49 12310.157 0.32349 74701900000000.0 53859400000000.0 4539540000000000.0 450531000000000.0 -1.32504e+31
M 0.001 400.0 0.2 0.005 0.6227 0.79838 0.8603 2319.24 118.43 12008.472 0.32366 32257200000000.0 53801800000000.0 1960230000000000.0 194544000000000.0 -1.34516e+31
M 0.001 400.0 0.2 0.01 0.62188 0.78735 0.84909 2142.02 95.43 11678.779 0.32383625 13105400000000.0 53658600000000.0 796400000000000.0 79039500000000.0 -1.36578e+31
M 0.001 400.0 0.2 0.02 0.62119 0.77572 0.83733 1996.11 78.55 11391.983 0.32398476 5578980000000.0 53375000000000.0 339027000000000.0 33647100000000.0 -1.38298e+31
M 0.001 400.0 0.2 0.03 0.62082 0.76974 0.83128 1926.14 71.17 11249.117 0.3240609 3504790000000.0 53092300000000.0 212982000000000.0 21137600000000.0 -1.39213e+31
M 0.001 400.0 0.2 0.05 0.62042 0.76214 0.8236 1830.97 61.89 11048.78 0.32415 1673790000000.0 52528900000000.0 101714000000000.0 10094700000000.0 -1.40218e+31
M 0.001 400.0 0.2 0.1 0.62 0.75541 0.81679 1740.64 53.91 10851.708 0.32424039 653194000000.0 51167300000000.0 39693800000000.0 3939440000000.0 -1.41275e+31
M 0.001 400.0 0.2 0.2 0.61969 0.75103 0.81236 1678.89 48.8 10712.768 0.32430919 226146000000.0 48583500000000.0 13742600000000.0 1363890000000.0 -1.42043e+31
M 0.001 400.0 0.2 0.5 0.61942 0.74774 0.80902 1626.82 44.95 10592.739 0.32436181 63787800000.0 41667300000000.0 3876300000000.0 384707000000.0 -1.42717e+31
M 0.001 400.0 0.2 1.0 0.61921 0.74521 0.80645 1586.89 41.99 10498.785 0.32441 45579800000.0 31946600000000.0 2769830000000.0 274894000000.0 -1.43245e+31
M 0.001 400.0 0.2 2.0 0.61883 0.74128 0.80245 1515.16 37.31 10325.514 0.32449 46765700000.0 18589000000000.0 2841890000000.0 282046000000.0 -1.44205e+31
